Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
542.800	97.69	99.26	-1.57	0.190	-14.608	161.321	0.0045	-0.349	3.851	-5.1											
542.850				-0.256	0.534	289.184	-0.0061	0.013	6.904												
542.900				0.243	14.310	142.785	0.0058	0.342	3.409	-5.1											
542.950				1.175	14.813	-106.814	0.0281	0.354	-2.550												
543.000	141.47	99.26	42.21	1.725	3.629	-260.124	0.0412	0.087	-6.210	-5.1											
543.050				1.538	-11.200	-208.288	0.0367	-0.267	-4.973												
543.100				0.605	-17.200	44.611	0.0144	-0.411	1.065	-5.1											
543.150				-0.182	-6.739	269.392	-0.0043	-0.161	6.431												
543.200	122.42	99.26	23.15	-0.069	9.739	231.378	-0.0016	0.232	5.524	-5.2											
543.250				0.792	16.399	-4.241	0.0189	0.392	-0.101												
543.300				1.571	9.315	-216.927	0.0375	0.222	-5.179	-5.2											
543.350				1.723	-5.294	-260.752	0.0411	-0.126	-6.225												
543.400	100.27	99.26	1.01	1.041	-16.760	-74.613	0.0249	-0.400	-1.781	-5.2											
543.450				0.047	-12.755	203.732	0.0011	-0.304	4.864												
543.500				-0.234	3.613	283.215	-0.0056	0.086	6.761	-5.2											
543.550				0.408	15.567	98.332	0.0098	0.372	2.348												
543.600	167.48	99.27	68.21	1.323	13.446	-147.184	0.0316	0.321	-3.514	-5.2											
543.650				1.753	0.848	-269.078	0.0419	0.020	-6.424												
543.700				1.407	-13.462	-173.102	0.0336	-0.321	-4.132	-5.2											
543.750				0.407	-16.462	100.531	0.0097	-0.393	2.400												
543.800	108.05	99.26	8.78	-0.239	-3.409	286.828	-0.0057	-0.081	6.848	-5.2											
543.850				0.066	12.221	193.679	0.0016	0.292	4.624												
543.900				0.983	15.959	-55.135	0.0235	0.381	-1.316	-5.2											
543.950				1.662	6.707	-242.374	0.0397	0.160	-5.786												
544.000	110.54	99.26	11.27	1.654	-8.278	-240.646	0.0395	-0.198	-5.745	-5.2											
544.050				0.834	-17.357	-17.750	0.0199	-0.414	-0.424												
544.100				-0.082	-10.053	241.589	-0.0019	-0.240	5.767	-5.2											
544.150				-0.171	6.802	263.580	-0.0041	0.162	6.292												
544.200	154.15	99.27	54.88	0.598	16.305	47.438	0.0143	0.389	1.133	-5.3											
544.250				1.459	11.545	-185.040	0.0348	0.276	-4.418												
544.300				1.753	-2.199	-268.921	0.0419	-0.052	-6.420	-5.3											
544.350				1.239	-15.347	-127.392	0.0296	-0.366	-3.041												
544.400	99.76	99.26	0.50	0.218	-14.938	153.781	0.0052	-0.357	3.671	-5.3											
544.450				-0.254	0.031	290.440	-0.0061	7.500E-4	6.934												
544.500				0.221	14.106	149.697	0.0053	0.337	3.574	-5.3											
544.550				1.156	15.001	-101.945	0.0276	0.358	-2.434												
544.600	165.71	99.26	66.45	1.722	3.911	-260.281	0.0411	0.093	-6.214	-5.3											
544.650				1.547	-11.027	-211.586	0.0369	-0.263	-5.051												
544.700				0.619	-17.247	40.998	0.0148	-0.412	0.979	-5.3											
544.750				-0.178	-6.927	268.606	-0.0042	-0.165	6.413												
544.800	134.37	99.27	35.10	-0.074	9.613	233.421	-0.0018	0.229	5.573	-5.3											
544.850				0.784	16.415	-2.042	0.0187	0.392	-0.049												
544.900				1.568	9.409	-215.985	0.0374	0.225	-5.156	-5.3											
544.950				1.725	-5.184	-261.381	0.0412	-0.124	-6.240												
545.000	117.47	99.26	18.21	1.049	-16.729	-76.498	0.0251	-0.399	-1.826	-5.3											
545.050				0.052	-12.833	202.162	0.0012	-0.306	4.826												
545.100				-0.234	3.487	283.372	-0.0056	0.083	6.765	-5.4											
545.150				0.401	15.504	100.217	0.0096	0.370	2.392												
545.200	170.62	99.27	71.35	1.316	13.509	-145.299	0.0314	0.322	-3.469	-5.4											
545.250				1.751	0.974	-268.763	0.0418	0.023	-6.416												
545.300				1.414	-13.367	-174.830	0.0338	-0.319	-4.174	-5.4											
545.350				0.415	-16.509	98.332	0.0099	-0.394	2.347												
545.400	117.27	99.26	18.01	-0.237	-3.534	286.356	-0.0057	-0.084	6.836	-5.4											
545.450				0.061	12.127	194.779	0.0015	0.289	4.650												
545.500				0.975	15.944	-52.465	0.0233	0.381	-1.253	-5.4											
545.550				1.656	6.880	-239.232	0.0395	0.164	-5.711												
545.600	137.75	99.26	38.49	1.663	-7.980	-241.746	0.0397	-0.190	-5.771	-5.4											
545.650				0.858	-17.294	-24.190	0.0205	-0.413	-0.577												
545.700				-0.066	-10.399	236.248	-0.0016	-0.248	5.640	-5.4											
545.750				-0.182	6.330	265.936	-0.0043	0.151	6.349												
545.800	163.30	99.27	64.04	0.567	16.195	55.606	0.0135	0.387	1.328	-5.4											
545.850				1.437	11.891	-178.286	0.0343	0.284	-4.256												
545.900				1.756	-1.634	-268.763	0.0419	-0.039	-6.416	-5.4											
545.950				1.274	-14.985	-136.502	0.0304	-0.358	-3.259												
546.000	99.35	99.26	0.09	0.258	-15.284	142.157	0.0062	-0.365	3.394	-5.5											
546.050				-0.254	-0.770	289.655	-0.0061	-0.018	6.915												
546.100				0.181	13.682	160.378	0.0043	0.327	3.829	-5.5											
546.150				1.114	15.268	-89.850	0.0266	0.364	-2.145												
546.200	157.89	99.26	58.63	1.707	4.697	-254.783	0.0408	0.112	-6.083	-5.5											
546.250				1.583	-10.210	-220.540	0.0378	-0.244	-5.265												
546.300				0.686	-17.357	22.777	0.0164	-0.414	0.544	-5.5											
546.350				-0.152	-7.933	261.538	-0.0036	-0.189	6.244												
546.400	145.83	99.26	46.56	-0.107	8.796	243.788	-0.0025	0.210	5.820	-5.5											
546.450				0.727	16.446	12.881	0.0174	0.393	0.308												
546.500				1.538	10.085	-207.974	0.0367	0.241	-4.965	-5.5											
546.550				1.736	-4.351	-264.836	0.0414	-0.104	-6.323												
546.600	108.54	99.26	9.28	1.103	-16.399	-91.263	0.0263	-0.392	-2.179	-5.5											
546.650				0.096	-13.477	189.438	0.0023	-0.322	4.523												
546.700				-0.245	2.545	286.513	-0.0058	0.061	6.840	-5.5											
546.750				0.350	15.174	114.040	0.0084	0.362	2.723												
546.800	169.15	99.26	69.89	1.272	13.949	-133.204	0.0304	0.333	-3.180	-5.5											
546.850				1.745	1.854	-266.721	0.0417	0.044	-6.367												
546.900				1.458	-12.723	-186.768	0.0348	-0.304	-4.459	-5.6											
546.950				0.473	-16.823	82.153	0.0113	-0.402	1.961												
547.000	100.45	99.26	1.19	-0.225	-4.508	283.215	-0.0054	-0.108	6.761	-5.6											
547.050				0.022	11.498	206.560	5.2500E-4	0.274	4.931												
547.100				0.925	16.148	-39.427	0.0221	0.386	-0.941	-5.6											
547.150				1.637	7.556	-235.305	0.0391	0.180	-5.618												
547.200	125.51	99.26	26.25	1.681	-7.383	-248.029	0.0401	-0.176	-5.921	-5.6											
547.250				0.898	-17.247	-35.343	0.0215	-0.412	-0.844												
547.300				-0.044	-10.917	231.064	-0.0010	-0.261	5.516	-5.6											
547.350				-0.193	5.859	270.805	-0.0046	0.140	6.465												
547.400	137.65	99.27	38.39	0.542	16.164	62.832	0.0129	0.386	1.500	-5.6											
547.450				1.423	12.142	-175.301	0.0340	0.290	-4.185												
547.500				1.756	-1.367	-270.334	0.0419	-0.033	-6.454	-5.6											
547.550				1.286	-14.891	-140.429	0.0307	-0.355	-3.353												
547.600	97.59	99.26	-1.67	0.267	-15.410	140.272	0.0064	-0.368	3.349	-5.6											
547.650				-0.254	-0.864	291.383	-0.0061	-0.021	6.956												
547.700				0.181	13.729	161.635	0.0043	0.328	3.859	-5.6											
547.750				1.118	15.300	-91.577	0.0267	0.365	-2.186												
547.800	144.95	99.26	45.68	1.711	4.571	-257.297	0.0408	0.109	-6.142	-5.7											
547.850				1.576	-10.430	-219.283	0.0376	-0.249	-5.235												
547.900				0.668	-17.357	27.803	0.0159	-0.414	0.664	-5.7											
547.950				-0.160	-7.650	264.051	-0.0038	-0.183	6.304												
548.000	119.95	99.26	20.69	-0.097	9.048	240.960	-0.0023	0.216	5.753	-5.7											
548.050				0.745	16.446	8.325	0.0178	0.393	0.199												
548.100				1.547	9.880	-210.173	0.0369	0.236	-5.017	-5.7											
548.150				1.733	-4.571	-263.580	0.0414	-0.109	-6.292												
548.200	101.37	99.26	2.11	1.090	-16.478	-87.651	0.0260	-0.393	-2.093	-5.7											
548.250				0.085	-13.336	192.580	0.0020	-0.318	4.598												
548.300				-0.243	2.780	286.199	-0.0058	0.066	6.833	-5.7											
548.350				0.363	15.284	110.584	0.0087	0.365	2.640												
548.400	165.82	99.27	66.55	1.285	13.839	-136.345	0.0307	0.330	-3.255	-5.7											
548.450				1.747	1.649	-266.564	0.0417	0.039	-6.364												
548.500				1.450	-12.818	-184.097	0.0346	-0.306	-4.395	-5.7											
548.550				0.465	-16.760	83.724	0.0111	-0.400	1.999												
548.600	106.02	99.26	6.76	-0.226	-4.445	282.115	-0.0054	-0.106	6.735	-5.8											
548.650				0.020	11.451	205.774	4.8750E-4	0.273	4.912												
548.700				0.919	16.132	-37.856	0.0219	0.385	-0.904	-5.8											
548.750				1.634	7.665	-232.792	0.0390	0.183	-5.558												
548.800	113.86	99.26	14.60	1.685	-7.147	-248.343	0.0402	-0.171	-5.929	-5.8											
548.850				0.919	-17.169	-40.527	0.0219	-0.410	-0.968												
548.900				-0.031	-11.200	226.352	-7.5000E-4	-0.267	5.404	-5.8											
548.950				-0.201	5.466	272.062	-0.0048	0.130	6.495												
549.000	149.89	99.26	50.63	0.515	16.006	69.586	0.0123	0.382	1.661	-5.8											
549.050				1.400	12.425	-167.447	0.0334	0.297	-3.997												
549.100				1.758	-0.738	-268.763	0.0420	-0.018	-6.416	-5.8											
549.150				1.326	-14.451	-150.168	0.0317	-0.345	-3.585												
549.200	98.72	99.26	-0.54	0.313	-15.755	126.449	0.0075	-0.376	3.019	-5.8											
549.250				-0.250	-1.806	288.870	-0.0060	-0.043	6.896												
549.300				0.132	13.132	174.044	0.0032	0.313	4.155	-5.8											
549.350				1.063	15.598	-76.498	0.0254	0.372	-1.826												
549.400	168.16	99.26	68.90	1.692	5.482	-251.171	0.0404	0.131	-5.996	-5.8											
549.450				1.612	-9.519	-229.022	0.0385	-0.227	-5.468												
549.500				0.740	-17.420	8.011	0.0177	-0.416	0.191	-5.9											
549.550				-0.130	-8.718	255.255	-0.0031	-0.208	6.094												
549.600	129.35	99.27	30.09	-0.132	8.105	251.328	-0.0031	0.194	6.000	-5.9											
549.650				0.680	16.415	25.290	0.0162	0.392	0.604												
549.700				1.510	10.634	-199.963	0.0360	0.254	-4.774	-5.9											
549.750				1.744	-3.581	-266.878	0.0416	-0.085	-6.371												
549.800	122.40	99.26	23.14	1.151	-16.054	-104.458	0.0275	-0.383	-2.494	-5.9											
549.850				0.138	-14.027	176.872	0.0033	-0.335	4.222												
549.900				-0.251	1.634	288.398	-0.0060	0.039	6.885	-5.9											
549.950				0.302	14.813	127.235	0.0072	0.354	3.038												
550.000	170.03	99.27	70.76	1.230	14.357	-121.580	0.0294	0.343	-2.903	-5.9											
550.050				1.737	2.655	-264.365	0.0415	0.063	-6.311												
550.100				1.495	-12.079	-197.135	0.0357	-0.288	-4.706	-5.9											
550.150				0.529	-17.059	66.288	0.0126	-0.407	1.583												
550.200	113.21	99.27	13.94	-0.210	-5.451	279.131	-0.0050	-0.130	6.664	-5.9											
550.250				-0.016	10.854	217.555	-3.7500E-4	0.259	5.194												
550.300				0.875	16.305	-26.389	0.0209	0.389	-0.630	-6.0											
550.350				1.615	8.215	-229.494	0.0386	0.196	-5.479												
550.400	142.54	99.26	43.27	1.696	-6.644	-253.055	0.0405	-0.159	-6.041	-6.0											
550.450				0.950	-17.090	-49.637	0.0227	-0.408	-1.185												
550.500				-0.013	-11.608	221.325	-3.0000E-4	-0.277	5.284	-6.0											
550.550				-0.210	5.042	275.675	-0.0050	0.120	6.581												
550.600	160.57	99.27	61.30	0.492	15.959	76.027	0.0117	0.381	1.815	-6.0											
550.650				1.385	12.645	-164.305	0.0331	0.302	-3.923												
550.700				1.756	-0.471	-269.706	0.0419	-0.011	-6.439	-6.0											
550.750				1.338	-14.326	-154.095	0.0320	-0.342	-3.679												
550.800	100.54	99.26	1.28	0.324	-15.881	123.936	0.0077	-0.379	2.959	-6.0											
550.850				-0.250	-1.932	290.126	-0.0060	-0.046	6.926												
550.900				0.130	13.132	175.301	0.0031	0.313	4.185	-6.0											
550.950				1.063	15.598	-76.655	0.0254	0.372	-1.830												
551.000	160.37	99.26	61.11	1.690	5.466	-251.171	0.0404	0.130	-5.996	-6.0											
551.050				1.610	-9.519	-228.708	0.0384	-0.227	-5.460												
551.100				0.738	-17.404	8.325	0.0176	-0.416	0.199	-6.0											
551.150				-0.130	-8.687	255.098	-0.0031	-0.207	6.090												
551.200	142.90	99.26	43.64	-0.130	8.105	250.856	-0.0031	0.193	5.989	-6.1											
551.250				0.680	16.399	25.290	0.0162	0.391	0.604												
551.300				1.510	10.634	-199.491	0.0360	0.254	-4.762	-6.1											
551.350				1.744	-3.550	-266.721	0.0416	-0.085	-6.367												
551.400	110.84	99.26	11.57	1.155	-16.038	-105.086	0.0276	-0.383	-2.509	-6.1											
551.450				0.140	-14.059	176.086	0.0033	-0.336	4.204												
551.500				-0.251	1.571	287.927	-0.0060	0.038	6.874	-6.1											
551.550				0.297	14.734	127.863	0.0071	0.352	3.053												
551.600	170.12	99.27	70.85	1.222	14.357	-118.595	0.0292	0.343	-2.831	-6.1											
551.650				1.733	2.875	-261.381	0.0414	0.069	-6.240												
551.700				1.510	-11.781	-199.805	0.0360	-0.281	-4.770	-6.1											
551.750				0.554	-17.106	58.905	0.0132	-0.408	1.406												
551.800	99.40	99.26	0.14	-0.201	-5.890	275.204	-0.0048	-0.141	6.570	-6.1											
551.850				-0.035	10.414	221.797	-8.2500E-4	0.249	5.295												
551.900				0.840	16.289	-17.279	0.0201	0.389	-0.412	-6.1											
551.950				1.594	8.687	-222.268	0.0381	0.207	-5.306												
552.000	130.48	99.26	31.22	1.709	-5.938	-255.569	0.0408	-0.142	-6.101	-6.2											
552.050				1.001	-16.870	-63.146	0.0239	-0.403	-1.508												
552.100				0.022	-12.252	210.487	5.2500E-4	-0.293	5.025	-6.2											
552.150				-0.225	4.178	279.288	-0.0054	0.100	6.668												
552.200	132.40	99.26	33.14	0.440	15.677	89.535	0.0105	0.374	2.138	-6.2											
552.250				1.343	13.132	-152.210	0.0321	0.314	-3.634												
552.300				1.753	0.456	-268.135	0.0419	0.011	-6.401	-6.2											
552.350				1.389	-13.682	-167.447	0.0332	-0.327	-3.997												
552.400	97.97	99.26	-1.29	0.385	-16.289	106.657	0.0092	-0.389	2.546	-6.2											
552.450				-0.240	-3.016	287.770	-0.0057	-0.072	6.870												
552.500				0.083	12.488	188.967	0.0020	0.298	4.511	-6.2											
552.550				1.008	15.881	-61.732	0.0241	0.379	-1.474												
552.600	150.83	99.26	51.57	1.671	6.315	-245.359	0.0399	0.151	-5.857	-6.2											
552.650				1.640	-8.655	-236.719	0.0392	-0.207	-5.651												
552.700				0.806	-17.357	-10.210	0.0192	-0.414	-0.244	-6.2											
552.750				-0.096	-9.676	244.887	-0.0023	-0.231	5.846												
552.800	115.17	99.26	15.91	-0.162	7.131	260.124	-0.0039	0.170	6.210	-6.3											
552.850				0.617	16.336	42.097	0.0147	0.390	1.005												
552.900				1.472	11.341	-189.281	0.0351	0.271	-4.519	-6.3											
552.950				1.751	-2.592	-269.235	0.0418	-0.062	-6.428												
553.000	103.94	99.26	4.68	1.213	-15.582	-120.951	0.0290	-0.372	-2.888	-6.3											
553.050				0.193	-14.687	161.007	0.0046	-0.351	3.844												
553.100				-0.256	0.518	290.283	-0.0061	0.012	6.930	-6.3											
553.150				0.245	14.341	142.785	0.0059	0.342	3.409												
553.200	162.23	99.26	62.97	1.178	14.797	-107.443	0.0281	0.353	-2.565	-6.3											
553.250				1.725	3.597	-260.752	0.0412	0.086	-6.225												
553.300				1.538	-11.278	-208.602	0.0367	-0.269	-4.980	-6.3											
553.350				0.597	-17.263	47.438	0.0143	-0.412	1.132												
553.400	103.35	99.26	4.10	-0.188	-6.535	272.848	-0.0045	-0.156	6.514	-6.3											
553.450				-0.057	10.022	229.336	-0.0013	0.239	5.475												
553.500				0.814	16.399	-10.053	0.0194	0.391	-0.240	-6.3											
553.550				1.583	9.016	-220.226	0.0378	0.215	-5.257												
553.600	117.84	99.26	18.59	1.715	-5.623	-258.396	0.0410	-0.134	-6.169	-6.3											
553.650				1.021	-16.823	-68.644	0.0244	-0.402	-1.639												
553.700				0.033	-12.488	208.288	7.8750E-4	-0.298	4.973	-6.4											
553.750				-0.228	4.006	281.801	-0.0054	0.096	6.728												
553.800	145.68	99.26	46.42	0.434	15.692	91.892	0.0104	0.375	2.194	-6.4											
553.850				1.341	13.195	-152.367	0.0320	0.315	-3.637												
553.900				1.753	0.456	-268.763	0.0419	0.011	-6.416	-6.4											
553.950				1.387	-13.682	-167.290	0.0331	-0.327	-3.994												
554.000	98.08	99.26	-1.18	0.385	-16.273	106.500	0.0092	-0.388	2.543	-6.4											
554.050				-0.240	-3.032	287.299	-0.0057	-0.072	6.859												
554.100				0.082	12.456	189.124	0.0020	0.297	4.515	-6.4											
554.150				1.005	15.881	-60.947	0.0240	0.379	-1.455												
554.200	169.30	99.26	70.04	1.670	6.362	-245.044	0.0399	0.152	-5.850	-6.4											
554.250				1.641	-8.624	-237.348	0.0392	-0.206	-5.666												
554.300				0.807	-17.373	-10.681	0.0193	-0.415	-0.255	-6.4											
554.350				-0.096	-9.692	245.201	-0.0023	-0.231	5.854												
554.400	126.27	99.26	27.01	-0.162	7.147	260.438	-0.0039	0.171	6.217	-6.4											
554.450				0.619	16.352	41.626	0.0148	0.390	0.994												
554.500				1.473	11.310	-189.595	0.0352	0.270	-4.526	-6.5											
554.550				1.750	-2.608	-268.606	0.0418	-0.062	-6.413												
554.600	99.07	99.26	-0.19	1.213	-15.551	-120.637	0.0290	-0.371	-2.880	-6.5											
554.650				0.195	-14.671	159.593	0.0047	-0.350	3.810												
554.700				-0.254	0.408	288.556	-0.0061	0.010	6.889	-6.5											
554.750				0.236	14.184	144.356	0.0056	0.339	3.446												
554.800	168.85	99.26	69.59	1.164	14.844	-103.201	0.0278	0.354	-2.464	-6.5											
554.850				1.720	3.864	-258.082	0.0411	0.092	-6.161												
554.900				1.550	-10.964	-211.429	0.0370	-0.262	-5.047	-6.5											
554.950				0.624	-17.279	39.898	0.0149	-0.412	0.953												
555.000	109.99	99.26	10.73	-0.178	-6.974	268.606	-0.0042	-0.166	6.413	-6.5											
555.050				-0.074	9.582	233.578	-0.0018	0.229	5.576												
555.100				0.781	16.383	-1.414	0.0186	0.391	-0.034	-6.5											
555.150				1.565	9.440	-213.943	0.0374	0.225	-5.108												
555.200	147.75	99.26	48.49	1.725	-5.011	-260.124	0.0412	-0.120	-6.210	-6.5											
555.250				1.063	-16.572	-80.111	0.0254	-0.396	-1.913												
555.300				0.068	-13.022	196.978	0.0016	-0.311	4.703	-6.6											
555.350				-0.239	3.126	284.000	-0.0057	0.075	6.780												
555.400	156.25	99.26	56.99	0.380	15.378	105.558	0.0091	0.367	2.520	-6.6											
555.450				1.299	13.682	-140.429	0.0310	0.327	-3.353												
555.500				1.748	1.335	-267.350	0.0417	0.032	-6.383	-6.6											
555.550				1.433	-13.053	-179.699	0.0342	-0.312	-4.290												
555.600	102.66	99.26	3.40	0.443	-16.635	90.321	0.0106	-0.397	2.156	-6.6											
555.650				-0.231	-4.021	285.100	-0.0055	-0.096	6.806												
555.700				0.041	11.875	201.219	9.7500E-4	0.283	4.804	-6.6											
555.750				0.957	16.101	-48.223	0.0228	0.384	-1.151												
555.800	164.12	99.26	64.86	1.651	7.053	-240.332	0.0394	0.168	-5.737	-6.6											
555.850				1.662	-7.933	-243.474	0.0397	-0.189	-5.812												
555.900				0.858	-17.294	-24.662	0.0205	-0.413	-0.589	-6.6											
555.950				-0.068	-10.399	236.562	-0.0016	-0.248	5.648												
556.000	137.28	99.26	38.02	-0.182	6.362	266.250	-0.0043	0.152	6.356	-6.6											
556.050				0.569	16.226	54.978	0.0136	0.387	1.313												
556.100				1.440	11.860	-180.328	0.0344	0.283	-4.305	-6.7											
556.150				1.755	-1.806	-270.020	0.0419	-0.043	-6.446												
556.200	115.15	99.26	15.89	1.260	-15.142	-133.361	0.0301	-0.361	-3.184	-6.7											
556.250				0.240	-15.142	147.498	0.0057	-0.361	3.521												
556.300				-0.254	-0.393	290.283	-0.0061	-0.009	6.930	-6.7											
556.350				0.201	13.886	155.038	0.0048	0.332	3.701												
556.400	170.72	99.26	71.45	1.134	15.111	-95.662	0.0271	0.361	-2.284	-6.7											
556.450				1.712	4.320	-257.454	0.0409	0.103	-6.146												
556.500				1.566	-10.634	-216.613	0.0374	-0.254	-5.171	-6.7											
556.550				0.649	-17.342	32.830	0.0155	-0.414	0.784												
556.600	98.57	99.26	-0.69	-0.168	-7.351	266.407	-0.0040	-0.176	6.360	-6.7											
556.650				-0.086	9.299	237.662	-0.0021	0.222	5.674												
556.700				0.762	16.415	3.770	0.0182	0.392	0.090	-6.7											
556.750				1.555	9.676	-212.058	0.0371	0.231	-5.063												
556.800	134.54	99.26	35.28	1.729	-4.791	-262.323	0.0413	-0.114	-6.262	-6.7											
556.850				1.076	-16.556	-83.724	0.0257	-0.395	-1.999												
556.900				0.074	-13.163	196.507	0.0018	-0.314	4.691	-6.7											
556.950				-0.240	3.094	285.885	-0.0057	0.074	6.825												
557.000	165.80	99.26	66.54	0.383	15.425	105.558	0.0092	0.368	2.520	-6.8											
557.050				1.302	13.650	-141.686	0.0311	0.326	-3.382												
557.100				1.748	1.257	-267.664	0.0417	0.030	-6.390	-6.8											
557.150				1.428	-13.116	-178.600	0.0341	-0.313	-4.264												
557.200	98.53	99.26	-0.73	0.437	-16.603	92.049	0.0104	-0.396	2.198	-6.8											
557.250				-0.232	-3.911	285.257	-0.0055	-0.093	6.810												
557.300				0.046	11.922	199.805	0.0011	0.285	4.770	-6.8											
557.350				0.960	16.069	-49.009	0.0229	0.384	-1.170												
557.400	153.80	99.26	54.53	1.652	7.021	-240.175	0.0395	0.168	-5.734	-6.8											
557.450				1.662	-7.948	-243.159	0.0397	-0.190	-5.805												
557.500				0.858	-17.294	-24.347	0.0205	-0.413	-0.581	-6.8											
557.550				-0.068	-10.383	236.876	-0.0016	-0.248	5.655												
557.600	112.85	99.26	13.59	-0.181	6.393	266.093	-0.0043	0.153	6.352	-6.8											
557.650				0.572	16.226	54.350	0.0137	0.387	1.297												
557.700				1.442	11.828	-180.328	0.0344	0.282	-4.305	-6.8											
557.750				1.755	-1.806	-269.235	0.0419	-0.043	-6.428												
557.800	105.73	99.26	6.47	1.261	-15.095	-133.518	0.0301	-0.360	-3.188	-6.9											
557.850				0.245	-15.158	145.299	0.0059	-0.362	3.469												
557.900				-0.254	-0.565	288.713	-0.0061	-0.013	6.893	-6.9											
557.950				0.188	13.713	157.394	0.0045	0.327	3.758												
558.000	159.60	99.26	60.33	1.117	15.174	-90.478	0.0267	0.362	-2.160	-6.9											
558.050				1.706	4.665	-254.155	0.0407	0.111	-6.068												
558.100				1.583	-10.242	-220.383	0.0378	-0.245	-5.261	-6.9											
558.150				0.682	-17.373	23.876	0.0163	-0.415	0.570												
558.200	101.67	99.26	2.41	-0.154	-7.854	261.852	-0.0037	-0.187	6.251	-6.9											
558.250				-0.104	8.812	242.217	-0.0025	0.210	5.783												
558.300				0.727	16.368	13.038	0.0174	0.391	0.311	-6.9											
558.350				1.533	10.116	-204.832	0.0366	0.241	-4.890												
558.400	122.73	99.26	23.47	1.739	-4.115	-263.580	0.0415	-0.098	-6.292	-6.9											
558.450				1.122	-16.242	-95.819	0.0268	-0.388	-2.287												
558.500				0.115	-13.697	183.783	0.0027	-0.327	4.388	-6.9											
558.550				-0.248	2.136	287.142	-0.0059	0.051	6.855												
558.600	140.19	99.26	40.93	0.328	15.017	119.852	0.0078	0.359	2.861	-7.0											
558.650				1.253	14.121	-128.177	0.0299	0.337	-3.060												
558.700				1.740	2.199	-265.308	0.0416	0.052	-6.334	-7.0											
558.750				1.473	-12.409	-191.009	0.0352	-0.296	-4.560												
558.800	97.68	99.26	-1.58	0.500	-16.902	74.456	0.0119	-0.403	1.777	-7.0											
558.850				-0.217	-4.964	281.016	-0.0052	-0.119	6.709												
558.900				0.003	11.200	212.058	7.5000E-5	0.267	5.062	-7.0											
558.950				0.903	16.242	-33.772	0.0216	0.388	-0.806												
559.000	170.52	99.26	71.26	1.627	7.823	-232.949	0.0389	0.187	-5.561	-7.0											
559.050				1.685	-7.053	-249.757	0.0402	-0.168	-5.962												
559.100				0.922	-17.153	-42.097	0.0220	-0.410	-1.005	-7.0											
559.150				-0.030	-11.263	225.567	-7.1250E-4	-0.269	5.385												
559.200	121.78	99.26	22.51	-0.204	5.404	273.005	-0.0049	0.129	6.517	-7.0											
559.250				0.511	16.038	70.529	0.0122	0.383	1.684												
559.300				1.400	12.456	-168.861	0.0334	0.297	-4.031	-7.0											
559.350				1.756	-0.848	-270.648	0.0419	-0.020	-6.461												
559.400	100.66	99.26	1.40	1.315	-14.608	-148.283	0.0314	-0.349	-3.540	-7.1											
559.450				0.295	-15.677	131.476	0.0071	-0.374	3.139												
559.500				-0.253	-1.461	290.126	-0.0060	-0.035	6.926	-7.1											
559.550				0.149	13.336	169.175	0.0036	0.318	4.039												
559.600	166.92	99.27	67.65	1.081	15.457	-81.367	0.0258	0.369	-1.942	-7.1											
559.650				1.695	5.199	-252.741	0.0405	0.124	-6.034												
559.700				1.601	-9.817	-226.352	0.0382	-0.234	-5.404	-7.1											
559.750				0.713	-17.436	15.080	0.0170	-0.416	0.360												
559.800	107.49	99.26	8.23	-0.143	-8.310	259.182	-0.0034	-0.198	6.187	-7.1											
559.850				-0.118	8.482	247.244	-0.0028	0.203	5.903												
559.900				0.705	16.415	18.692	0.0168	0.392	0.446	-7.1											
559.950				1.524	10.352	-203.104	0.0364	0.247	-4.849												
560.000	151.49	99.26	52.23	1.740	-3.896	-265.308	0.0416	-0.093	-6.334	-7.1											
560.050				1.134	-16.179	-99.274	0.0271	-0.386	-2.370												
560.100				0.123	-13.823	182.055	0.0029	-0.330	4.346	-7.2											
560.150				-0.248	2.026	288.398	-0.0059	0.048	6.885												
560.200	153.28	99.26	54.02	0.325	15.017	121.423	0.0078	0.358	2.899	-7.2											
560.250				1.253	14.169	-128.177	0.0299	0.338	-3.060												
560.300				1.742	2.199	-265.779	0.0416	0.052	-6.345	-7.2											
560.350				1.473	-12.409	-191.009	0.0352	-0.296	-4.560												
560.400	104.23	99.26	4.98	0.501	-16.902	74.299	0.0120	-0.403	1.774	-7.2											
560.450				-0.217	-4.979	280.859	-0.0052	-0.119	6.705												
560.500				0.003	11.184	212.058	7.5000E-5	0.267	5.063	-7.2											
